nllb	छिप जाता है;	ᱢᱮᱲᱦᱮᱫ ᱞᱮᱠᱟᱱ;
nllb	इनके पिता का नाम था	ᱠᱟᱱᱟᱭ ᱾ ᱟᱡ ᱵᱟᱵᱟᱦᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱰᱚ.
wikimedia	वर्षा तीन प्रकार की होती है :	ᱡᱟᱹᱯᱩᱫ ᱯᱮ ᱞᱮᱠᱟᱱᱟᱜ :
nllb	अगर आप सच में,	ᱡᱩᱫᱤ ᱥᱟᱹᱨᱤᱜᱮ,
nllb	1960 - ब्रासीलिया शहर को ब्राजील की राजधानी बनाई गई।	᱑᱗᱐᱑ - ᱵᱚᱨᱞᱤᱱ ᱫᱚ ᱯᱨᱩᱥᱤᱭᱟ ᱨᱮᱱᱟᱜ ᱨᱟᱡᱽᱜᱟᱲ ᱮᱱᱟ ᱾
nllb	अपने धार्मिक होने का ढिंढोरा पीट लो,	ᱛᱟᱣᱟ ᱨᱮ ᱥᱩᱱᱩᱢ ᱞᱟᱜᱟᱣ ᱟᱛᱮ ᱵᱤᱞᱤ ᱫᱩᱞ ᱠᱟᱛᱮ ᱯᱤᱴᱷᱟᱹᱭ ᱢᱮ ᱾
nllb	आरं भ नहीं होता	ᱵᱟᱝ ᱮᱦᱚᱵ ᱠᱟᱱᱟ
nllb	मंगोलिया देश का इतिहास	ᱢᱚᱝᱜᱚᱞᱤᱭᱟ ᱨᱮᱱᱟᱜ ᱨᱟᱡᱽᱜᱟᱲ ᱱᱟᱜᱟᱨ
nllb	सदा रहे सुख एक से;	ᱡᱚᱛᱷᱟᱛ ᱴᱷᱟᱶᱨᱮ।
wikimedia	सरीसृप स्थलीय कछुआ	ᱥᱟᱨᱤᱥᱨᱤᱯ ᱴᱟᱸᱰᱤ ᱦᱚᱨᱚ
nllb	पूरी दुनिया में होता है इस्तेमाल	ᱡᱮᱜᱮᱛ ᱡᱟᱠᱟᱛ ᱨᱮᱫ ᱵᱮᱵᱷᱟᱨᱟᱜ
wikimedia	अन्य भाषाओं में	ᱮᱴᱟᱜ ᱯᱟᱹᱨᱥᱤ ᱛᱮ
nllb	मुहावरा - अंत पाना	ᱛᱷᱟᱯᱚᱱ - ᱢᱩᱪᱟᱹᱫ
nllb	मित्र थे, बच्चे थे	ᱢᱮᱱᱟᱜ ᱠᱤᱱᱟ ᱾ ᱠᱚᱲᱟ ᱜᱤᱫᱽᱨᱟ.
nllb	जिसका सील नहीं टूटा है उसका चूत नंगी	ᱥᱚᱨᱚᱛᱪᱚᱱᱫᱨᱚ ᱪᱚᱴᱽᱴᱳᱯᱟᱫᱷᱟᱭ, ᱧᱩᱛᱩᱢᱟᱱ ᱵᱟᱝᱞᱟ ᱥᱟᱦᱤᱛᱛᱤᱠ,
wikimedia	ग्रीस	ᱜᱨᱤᱥ
nllb	तौलती मैं क्या ?	ᱪᱮᱫ ᱤᱧ ᱪᱮᱠᱟᱭᱟ?
nllb	उसको क्या पता की	ᱩᱱᱤ ᱪᱮᱫ ᱮ ᱪᱮᱠᱟᱭᱮᱜ-ᱟ ?
